label,inlen,outlen,conc,nprompts,rate,otps,rtps,ttft,tpot,e2e,ok
R1,128,128,1,6,inf,66.60,0.52,2.22,15.11,1920.82,6
R1,128,128,32,96,inf,247.86,1.94,14.62,129.80,16498.93,96
R1,512,128,1,6,inf,37.93,0.30,2.19,26.55,3374.29,6
R1,512,128,32,96,inf,138.82,1.08,12.87,231.56,29420.43,96
R1,1024,128,1,6,inf,24.19,0.19,2.79,41.64,5291.33,6
R1,1024,128,32,96,inf,85.89,0.67,12.66,373.90,47497.67,96
R2,128,128,1,6,inf,66.55,0.52,2.35,15.12,1922.57,6
R2,128,128,32,96,inf,247.46,1.93,14.96,130.02,16528.02,96
R2,512,128,1,6,inf,37.88,0.30,2.58,26.58,3378.49,6
R2,512,128,32,96,inf,139.28,1.09,13.82,230.76,29320.32,96
R2,1024,128,1,6,inf,24.13,0.19,3.17,41.73,5303.31,6
R2,1024,128,32,96,inf,85.87,0.67,12.98,374.01,47512.57,96
S3,128,128,1,6,inf,52.38,0.41,2.08,19.22,2443.20,6
S3,128,128,32,96,inf,1093.64,8.54,16.95,29.26,3733.33,96
S3,512,128,1,6,inf,45.20,0.35,2.58,22.27,2830.97,6
S3,512,128,32,96,inf,628.07,4.91,12.80,50.96,6484.44,96
S3,1024,128,1,6,inf,37.94,0.30,2.64,26.54,3373.02,6
S3,1024,128,32,96,inf,348.43,4.31,19.34,88.14,7207.77,96
S5,128,128,1,6,inf,54.01,0.42,2.42,18.63,2369.05,6
S5,128,128,32,96,inf,1140.62,8.91,14.02,28.07,3579.32,96
S5,512,128,1,6,inf,46.46,0.36,2.58,21.67,2754.63,6
S5,512,128,32,96,inf,647.52,5.06,13.13,49.43,6290.17,96
S5,1024,128,1,6,inf,38.80,0.30,2.84,25.95,3298.40,6
S5,1024,128,32,96,inf,356.25,4.41,19.18,86.12,7035.90,96
S6,128,128,1,6,inf,55.71,0.44,2.17,18.07,2297.05,6
S6,128,128,32,96,inf,1316.95,10.29,14.97,24.29,3099.76,96
S6,512,128,1,6,inf,50.61,0.40,2.20,19.89,2528.06,6
S6,512,128,32,96,inf,824.40,6.44,12.82,38.79,4939.50,96
S6,1024,128,1,6,inf,44.49,0.35,2.83,22.62,2876.04,6
S6,1024,128,32,96,inf,453.70,5.64,18.61,66.62,5460.62,96
S7,128,128,1,6,inf,55.79,0.44,2.08,18.05,2293.82,6
S7,128,128,32,96,inf,1325.98,10.36,14.30,24.13,3078.53,96
S7,512,128,1,6,inf,50.76,0.40,2.59,19.83,2521.09,6
S7,512,128,32,96,inf,860.44,6.72,12.23,37.14,4729.09,96
S7,1024,128,1,6,inf,44.76,0.35,3.07,22.49,2859.26,6
S7,1024,128,32,96,inf,501.12,6.21,19.25,60.16,4943.10,96
S8,128,128,1,6,inf,55.71,0.44,2.17,18.07,2297.12,6
S8,128,128,32,96,inf,1327.52,10.37,14.22,24.10,3074.94,96
S8,512,128,1,6,inf,50.83,0.40,2.46,19.81,2517.70,6
S8,512,128,32,96,inf,878.31,6.86,11.80,36.38,4632.04,96
S8,1024,128,1,6,inf,45.02,0.35,2.97,22.36,2842.74,6
S8,1024,128,32,96,inf,531.48,6.59,19.26,56.54,4648.89,96
S10,128,128,1,6,inf,55.83,0.44,2.27,18.03,2292.03,6
S10,128,128,32,96,inf,1334.17,10.42,11.99,23.96,3055.17,96
S10,512,128,1,6,inf,51.01,0.40,2.11,19.74,2508.88,6
S10,512,128,32,96,inf,882.24,6.89,12.18,35.98,4581.60,96
S10,1024,128,1,6,inf,45.02,0.35,2.59,22.36,2842.51,6
S10,1024,128,32,96,inf,581.03,4.54,13.63,54.39,6921.35,96
S12,128,128,1,6,inf,56.30,0.44,1.97,17.88,2272.73,6
S12,128,128,32,96,inf,1338.01,10.45,11.74,23.90,3046.45,96
S12,512,128,1,6,inf,54.66,0.43,2.41,18.41,2340.93,6
S12,512,128,32,96,inf,906.32,7.08,11.74,35.03,4460.44,96
S12,1024,128,1,6,inf,51.23,0.40,3.13,19.65,2498.10,6
S12,1024,128,32,96,inf,604.30,4.72,13.33,52.33,6659.86,96
S14,128,128,1,6,inf,56.44,0.44,2.07,17.84,2267.32,6
S14,128,128,32,96,inf,1341.35,10.48,11.68,23.83,3037.75,96
S14,512,128,1,6,inf,54.63,0.43,2.14,18.43,2342.37,6
S14,512,128,32,96,inf,908.15,7.09,11.54,34.96,4451.84,96
S14,1024,128,1,6,inf,51.30,0.40,3.03,19.62,2494.69,6
S14,1024,128,32,96,inf,605.13,4.73,13.05,52.27,6651.20,96
VLLM,128,128,1,6,inf,58.08,0.45,38.73,17.04,2203.02,6
VLLM,128,128,32,96,inf,1375.88,10.75,368.79,20.44,2965.18,96
VLLM,512,128,1,6,inf,56.97,0.45,76.29,17.08,2246.07,6
VLLM,512,128,32,96,inf,944.17,7.38,764.11,27.90,4307.23,96
VLLM,1024,128,1,6,inf,55.49,0.43,128.66,17.15,2306.15,6
VLLM,1024,128,32,96,inf,652.23,5.10,1176.64,39.75,6225.24,96
